mfr,mfrpn,dist,distpn,part_list,qty,desc,substitute_ok,case,mounting,layer,pins,extended_pins,comments
MISSING,MISSING,DIGIKEY,CKN10723CT-ND,S2 S1,2,MISSING,no,,SMD,top,6,12,
Keystone Electronics,5001,DIGIKEY,36-5001-ND,P2 P3 P1 P4,4,PC TEST POINT MINIATURE BLACK,no,,TH,top,1,4,
Microchip Technology,ATMEGA128RFA1-ZU,DIGIKEY,ATMEGA128RFA1-ZU-ND ,U4,1,IC RF TXRX+MCU 802.15.4 64VFQFN,no,QFN,SMD,top,64,64,
Samsung Electro-Mechanics,CL10A105KP8NNNC,DIGIKEY,1276-1182-1-ND,C4 C13 C12 C11 C16,5,CAP CER 1UF 10V X5R 0603,no,0603,SMD,top,2,10,
Abracon LLC,ABM8-16.000MHZ-B2-T,DIGIKEY,535-9134-1-ND,Y1,1,CRYSTAL 16.0000MHZ 18PF SMD,no,,SMD,top,4,4,
Wurth Electronics Inc.,748421245,DIGIKEY,732-2230-1-ND,B2,1,BALUN 2.4GHZ-2.5GHZ 50/100 0805,no,0805,SMD,top,6,6,
MISSING,MISSING,DIGIKEY,S5641-ND,L1,1,MISSING,no,,,top,10,10,
Toshiba Semiconductor and Storage,"CRS08(TE85L,Q,M)",DIGIKEY,CRS08QMCT-ND,D2 D3,2,DIODE SCHOTTKY 30V 1.5A SFLAT,no,,SMD,top,2,4,
Yageo,CC0603BRNPO9BNR75,DIGIKEY,311-3843-1-ND,C2,1,CAP CER 0.75PF 50V NPO 0603,no,0603,SMD,top,2,2,
Amphenol ICC (FCI),95278-101A06LF,DIGIKEY,609-3487-2-ND,J4,1,CONN HEADER SMD 6POS 2.54MM,no,,SMD,top,6,6,
MISSING,MISSING,DIGIKEY,PEC12R-4220F-S0024-ND,E1,1,MISSING,no,,TH,top,5,5,
Microchip Technology,MCP73831T-2ACI/OT,DIGIKEY,MCP73831T-2ACI/OTCT-ND,U2,1,IC CONTROLLR LI-ION 4.2V SOT23-5,no,SOT23-5,SMD,top,5,5,
AVX Corporation,06036A220KAT2A,DIGIKEY,478-11384-1-ND,C3,1,CAP CER 22PF 6.3V NP0 0603,no,0603,SMD,top,2,2,
Panasonic Electronic Components,EXB-N8V103JX,DIGIKEY,Y10103CT-ND,R3,1,RES ARRAY 4 RES 10K OHM 0804,no,0804,SMD,top,8,8,
Lite-On Inc.,LTST-C195TGKRKT,DIGIKEY,160-2252-1-ND,D6 D4 D5 D1,4,LED GREEN/RED CLEAR CHIP SMD,no,4SMD,SMD,top,4,16,
KEMET,C0603C104K8RACTU,DIGIKEY,399-1095-1-ND,C9 C8 C1,3,CAP CER 0.1UF 10V X7R 0603,no,0603,SMD,top,2,6,
MISSING,MISSING,DIGIKEY,609-4613-1-ND ,J1,1,MISSING,no,,SMD,top,11,11,
E-Switch,TL3305AF160QG,DIGIKEY,EG5350CT-ND,B4 B5 B6 B7 B1 B8 B9 B10,8,SWITCH TACTILE SPST-NO 50MA 12V,no,,SMD,top,4,32,
MISSING,MISSING,DIGIKEY,SAM15344-ND,J6,1,MISSING,no,,SMD,top,4,4,
MISSING,MISSING,DIGIKEY,768-1007-1-ND ,U3,1,MISSING,no,,SMD,top,28,28,
MISSING,MISSING,DIGIKEY,Y10222CT-ND,R1,1,MISSING,no,,SMD,top,8,8,
Linx Technologies Inc.,ANT-2.45-CHP-T,DIGIKEY,ANT-2.45-CHPCT-ND,A1,1,RF ANT 2.4GHZ CHIP SOLDER SMD,no,,SMD,top,2,2,
MISSING,MISSING,DIGIKEY,1722-1241-ND,E1,1,MISSING,no,,TH,top,5,5,
MISSING,MISSING,DIGIKEY,Y10152CT-ND,R4 R5,2,MISSING,no,,SMD,top,8,16,
Samsung Electro-Mechanics,CL10A106MQ8NNNC,DIGIKEY,1276-1119-1-ND,C7 C6 C5,3,CAP CER 10UF 6.3V X5R 0603,no,0603,SMD,top,2,6,
NXP USA Inc.,"NX3L2467PW,118",DIGIKEY,568-5300-1-ND,U5,1,IC ANALOG SWITCH DPDT 16TSSOP,no,,SMD,top,16,16,
Harwin Inc.,M20-8890645,DIGIKEY,952-3235-ND,J8 J5 J7,3,CONN HEADER SMD R/A 6POS 2.54MM,no,,SMD,top,6,18,
Vishay Vitramon,VJ0603A120FXQCW1BC,DIGIKEY,720-1655-1-ND,C15 C14,2,CAP CER 12PF 10V C0G/NP0 0603,no,0603,SMD,top,2,4,
MISSING,MISSING,DIGIKEY,952-1842-ND,L1,1,MISSING,no,,,top,10,10,
TE Connectivity AMP Connectors,1-1735446-2,DIGIKEY,A100106-ND,J2 J3,2,CONN HEADER VERT 12POS 2MM,no,,TH,top,12,24,
